행정구역(시군구)별,2015,2016,2017,2018,2019,2020,2021,2022,2023
총계,25.58,26.08,25.0,23.33,23.42,18.92,18.08,17.5,18.42
서울특별시,23.17,26.08,24.5,23.0,24.83,20.75,19.75,18.33,19.75
부산광역시,25.58,26.83,25.58,23.17,21.33,16.92,15.25,15.33,16.25
대구광역시,25.73,24.5,23.5,22.25,22.5,20.0,17.67,16.5,17.67
인천광역시,29.17,26.42,25.18,22.25,23.25,18.45,20.5,19.0,21.5
광주광역시,26.91,23.42,24.17,24.0,23.5,18.0,18.08,16.75,16.83
대전광역시,28.33,22.5,21.08,21.67,22.25,17.42,16.82,17.08,18.42
울산광역시,24.67,23.17,24.75,23.17,20.33,17.0,15.25,15.83,17.83
세종특별자치시,,23.38,22.75,21.5,25.83,19.42,18.08,17.92,18.67
경기도평균,25.83,27.92,27.17,25.17,26.0,21.33,20.83,19.5,20.75
강원도평균,26.5,28.08,26.18,23.09,21.33,17.0,14.83,14.83,15.33
충청북도평균,36.0,26.33,27.08,27.17,28.25,21.33,19.58,20.0,20.25
충청남도평균,,25.0,23.83,20.73,25.67,21.42,21.17,19.5,20.75
전라북도평균,39.25,31.5,28.36,25.25,25.83,20.5,19.42,19.42,20.25
전라남도평균,25.0,23.58,20.33,20.5,19.17,15.25,14.83,14.25,14.5
경상북도평균,,21.75,23.5,24.42,20.67,17.25,16.67,16.42,18.0
경상남도평균,25.5,24.58,22.83,20.17,18.58,16.0,15.8,14.67,15.83
제주도평균,24.0,22.0,21.45,18.92,18.58,15.58,13.58,14.0,13.75
